City,State,Lat,Long,commas,CityState,Opened,Mopened
San Diego,California,32.715738,-117.161084,",","San Diego,California",6/11/04,6/04
Hutchinson,Kansas,38.0608444,-97.9297743,",","Hutchinson,Kansas",6/18/04,6/04
Waipahu,Hawaii,21.3866667,-158.0091667,",","Waipahu,Hawaii",6/22/04,6/04
Emporia,Kansas,38.4040054,-96.181623,",","Emporia,Kansas",6/25/04,6/04
Las Cruces,New Mexico,32.3140354,-106.7798078,",","Las Cruces,New Mexico",7/1/04,7/04
Honolulu,Hawaii,21.304547,-157.8556764,",","Honolulu,Hawaii",7/20/04,7/04
Tempe,Arizona,33.42551,-111.940005,",","Tempe,Arizona",8/1/04,8/04
McAllen,Texas,26.2043691,-98.230082,",","McAllen,Texas",8/20/04,8/04
Portland,Oregon,45.5202471,-122.6741949,",","Portland,Oregon",9/1/04,9/04
Boulder City,Nevada,35.9787638,-114.8337739,",","Boulder City,Nevada",9/1/04,9/04
Tempe,Arizona,33.42551,-111.940005,",","Tempe,Arizona",9/1/04,9/04
McAllen,Texas,26.2043691,-98.230082,",","McAllen,Texas",9/1/04,9/04
Chantilly,Virginia,38.8941543,-77.4311513,",","Chantilly,Virginia",9/1/04,9/04
New York,New York,40.7127281,-74.0060152,",","New York,New York",9/3/04,9/04
St. George,Utah,37.104153,-113.5841313,",","St. George,Utah",9/10/04,9/04
Santa Rosa,California,38.440429,-122.714055,",","Santa Rosa,California",9/17/04,9/04
Concord,California,37.977978,-122.031073,",","Concord,California",9/17/04,9/04
Mililani Town,Hawaii,21.4523757,-158.0063148,",","Mililani Town,Hawaii",9/21/04,9/04
Susanville,California,40.416284,-120.653006,",","Susanville,California",9/25/04,9/04
Eureka,California,40.802071,-124.163673,",","Eureka,California",10/1/04,10/04
Meridian,Idaho,43.6086295,-116.392326,",","Meridian,Idaho",10/1/04,10/04
Meridian,Idaho,43.6086295,-116.392326,",","Meridian,Idaho",10/1/04,10/04
Lafayette,Louisiana,30.2240897,-92.0198427,",","Lafayette,Louisiana",10/1/04,10/04
Honolulu,Hawaii,21.304547,-157.8556764,",","Honolulu,Hawaii",10/9/04,10/04
Fort Bragg,California,39.445723,-123.805294,",","Fort Bragg,California",10/11/04,10/04
Kaneohe,Hawaii,21.4055,-157.7960716,",","Kaneohe,Hawaii",12/7/04,12/04
Spokane,Washington,47.6571104,-117.2613936,",","Spokane,Washington",12/9/04,12/04
Los Angeles,California,34.052234,-118.243685,",","Los Angeles,California",12/10/04,12/04
Mercer Island,Washington,47.5602073,-122.2201423,",","Mercer Island,Washington",1/1/05,1/05
San Diego,California,32.715738,-117.161084,",","San Diego,California",1/1/05,1/05
Phoenix,Arizona,33.448377,-112.074037,",","Phoenix,Arizona",1/1/05,1/05
Phoenix,Arizona,33.448377,-112.074037,",","Phoenix,Arizona",2/1/05,2/05
Fairfield,California,38.249196,-122.040515,",","Fairfield,California",3/1/05,3/05
Boise,Idaho,43.6166163,-116.200886,",","Boise,Idaho",3/1/05,3/05
Phoenix,Arizona,33.448377,-112.074037,",","Phoenix,Arizona",3/1/05,3/05
Higley,Arizona,33.306936,-111.721109,",","Higley,Arizona",3/1/05,3/05
Las Vegas,Nevada,36.1672559,-115.1485163,",","Las Vegas,Nevada",3/19/05,3/05
Jacksonville,Florida,30.3321838,-81.655651,",","Jacksonville,Florida",3/19/05,3/05
Renton,Washington,47.4799078,-122.2034496,",","Renton,Washington",4/1/05,4/05
Honolulu,Hawaii,21.304547,-157.8556764,",","Honolulu,Hawaii",4/14/05,4/05
Houston,Texas,31.3378465,-95.390805,",","Houston,Texas",4/15/05,4/05
Oceanside,California,33.19587,-117.379483,",","Oceanside,California",5/1/05,5/05
Greendale,Wisconsin,42.9405711,-87.9959191,",","Greendale,Wisconsin",5/1/05,5/05
Macon,Georgia,32.8406946,-83.6324022,",","Macon,Georgia",5/1/05,5/05
Calexico,California,32.678948,-115.498883,",","Calexico,California",5/26/05,5/05
