City,State,Lat,Long,commas,CityState,Opened,Mopened
Mobile,Alabama,30.695366,-88.039891,",","Mobile,Alabama",11/21/06,11/06
Orlando,Florida,28.5421109,-81.3790304,",","Orlando,Florida",11/21/06,11/06
Prosser,Washington,46.2067583,-119.7691601,",","Prosser,Washington",11/22/06,11/06
Terre Haute,Indiana,39.4667025,-87.4139119,",","Terre Haute,Indiana",11/22/06,11/06
North Charleston,South Carolina,32.9131295,-80.0629982,",","North Charleston,South Carolina",11/22/06,11/06
Lehigh Valley,Pennsylvania,40.5887558,-75.564283,",","Lehigh Valley,Pennsylvania",11/22/06,11/06
Bolingbrook,Illinois,41.7003302,-88.0717708,",","Bolingbrook,Illinois",11/24/06,11/06
Clayton,North Carolina,35.650711,-78.4563914,",","Clayton,North Carolina",11/25/06,11/06
Denver,Colorado,39.7392364,-104.9848623,",","Denver,Colorado",11/27/06,11/06
Chicago,Illinois,41.8755616,-87.6244212,",","Chicago,Illinois",11/27/06,11/06
Indiana,Pennsylvania,40.6424116,-79.1262839,",","Indiana,Pennsylvania",11/30/06,11/06
Little Ferry,New Jersey,40.8528777,-74.0420848,",","Little Ferry,New Jersey",11/30/06,11/06
Vista,California,33.200037,-117.242536,",","Vista,California",12/1/06,12/06
Littleton,Colorado,39.613321,-105.0166498,",","Littleton,Colorado",12/1/06,12/06
Carrollton,Texas,32.9537349,-96.8902816,",","Carrollton,Texas",12/1/06,12/06
Broken Arrow,Oklahoma,36.0525993,-95.7908195,",","Broken Arrow,Oklahoma",12/1/06,12/06
Des Moines,Iowa,41.5910641,-93.6037149,",","Des Moines,Iowa",12/1/06,12/06
Ruston,Louisiana,32.5232053,-92.637927,",","Ruston,Louisiana",12/1/06,12/06
Davenport,Iowa,41.5236436,-90.5776368,",","Davenport,Iowa",12/1/06,12/06
Valley Park,Missouri,38.5493603,-90.4912719,",","Valley Park,Missouri",12/1/06,12/06
Bolingbrook,Illinois,41.7003302,-88.0717708,",","Bolingbrook,Illinois",12/1/06,12/06
Brentwood,Tennessee,36.0325687,-86.7825235,",","Brentwood,Tennessee",12/1/06,12/06
Nashville,Tennessee,36.1622296,-86.7743531,",","Nashville,Tennessee",12/1/06,12/06
Bradenton,Florida,27.4989278,-82.5748194,",","Bradenton,Florida",12/1/06,12/06
Aberdeen,North Carolina,35.131547,-79.4294789,",","Aberdeen,North Carolina",12/1/06,12/06
Olivette,Missouri,38.6653297,-90.3759499,",","Olivette,Missouri",12/4/06,12/06
Port Charlotte,Florida,26.9761707,-82.0906448,",","Port Charlotte,Florida",12/5/06,12/06
Hialeah,Florida,25.8575963,-80.2781057,",","Hialeah,Florida",12/5/06,12/06
Mesa,Arizona,33.415184,-111.831472,",","Mesa,Arizona",12/6/06,12/06
Anchorage,Alaska,61.218056,-149.900278,",","Anchorage,Alaska",12/8/06,12/06
Soquel,California,36.988006,-121.956627,",","Soquel,California",12/8/06,12/06
Gridley,California,39.363777,-121.693583,",","Gridley,California",12/8/06,12/06
Fresno,California,36.737798,-119.787125,",","Fresno,California",12/8/06,12/06
Valencia,California,34.456151,-118.571382,",","Valencia,California",12/8/06,12/06
Irvine,California,33.684567,-117.826505,",","Irvine,California",12/8/06,12/06
Clarkston,Washington,46.4162724,-117.0451796,",","Clarkston,Washington",12/8/06,12/06
North Las Vegas,Nevada,36.2005843,-115.1215844,",","North Las Vegas,Nevada",12/8/06,12/06
Kalispell,Montana,48.2022563,-114.3167117,",","Kalispell,Montana",12/8/06,12/06
Casper,Wyoming,42.866632,-106.313081,",","Casper,Wyoming",12/8/06,12/06
Loveland,Colorado,40.3977612,-105.0749801,",","Loveland,Colorado",12/8/06,12/06
Pueblo,Colorado,38.2544472,-104.609141,",","Pueblo,Colorado",12/8/06,12/06
Round Rock,Texas,30.508235,-97.6788934,",","Round Rock,Texas",12/8/06,12/06
Manitowoc,Wisconsin,44.0998341,-87.827992,",","Manitowoc,Wisconsin",12/8/06,12/06
Glendale,New York,34.23308,-118.25302,",","Glendale,New York",12/8/06,12/06
Grand Island,Nebraska,40.924271,-98.338685,",","Grand Island,Nebraska",12/9/06,12/06
Los Gatos,California,37.235808,-121.962375,",","Los Gatos,California",12/11/06,12/06
Atascadero,California,35.489417,-120.670726,",","Atascadero,California",12/11/06,12/06
Shreveport,Louisiana,32.5221828,-93.7651944,",","Shreveport,Louisiana",12/11/06,12/06
Burlington,Washington,48.4686745,-122.3293925,",","Burlington,Washington",12/12/06,12/06
Cordova,Tennessee,35.1556451,-89.7761955,",","Cordova,Tennessee",12/13/06,12/06
Duluth,Georgia,34.0028569,-84.1441046,",","Duluth,Georgia",12/13/06,12/06
Orlando,Florida,28.5421109,-81.3790304,",","Orlando,Florida",12/14/06,12/06
Toms River,New Jersey,39.9537359,-74.1979576,",","Toms River,New Jersey",12/14/06,12/06
North Highlands,California,38.685736,-121.372174,",","North Highlands,California",12/15/06,12/06
El Dorado Hills,California,38.685737,-121.082167,",","El Dorado Hills,California",12/15/06,12/06
Henderson,Nevada,36.0301134,-114.9826194,",","Henderson,Nevada",12/15/06,12/06
Victoria,Texas,28.8026443,-96.9766308,",","Victoria,Texas",12/15/06,12/06
Dallas,Texas,32.7762719,-96.7968559,",","Dallas,Texas",12/15/06,12/06
Clive,Iowa,41.6096029,-93.7754352,",","Clive,Iowa",12/15/06,12/06
Bloomington,Illinois,40.4731073,-88.9941403,",","Bloomington,Illinois",12/15/06,12/06
Lombard,Illinois,41.8864687,-88.0201536,",","Lombard,Illinois",12/15/06,12/06
Melrose Park,Illinois,41.9005865,-87.8567277,",","Melrose Park,Illinois",12/15/06,12/06
South Bend,Indiana,41.6833813,-86.2500066,",","South Bend,Indiana",12/15/06,12/06
Gas City,Indiana,40.4872625,-85.6130311,",","Gas City,Indiana",12/15/06,12/06
Muncie,Indiana,40.1936892,-85.3865271,",","Muncie,Indiana",12/15/06,12/06
Madison Heights,Michigan,42.4858692,-83.1052028,",","Madison Heights,Michigan",12/15/06,12/06
Durham,North Carolina,35.996653,-78.9018053,",","Durham,North Carolina",12/15/06,12/06
Brooklyn,New York,40.6501038,-73.9495823,",","Brooklyn,New York",12/15/06,12/06
Scarsdale,New York,40.9690798,-73.7635316,",","Scarsdale,New York",12/15/06,12/06
Albany,New York,42.6511674,-73.754968,",","Albany,New York",12/15/06,12/06
Denham Springs,Louisiana,30.4868564,-90.9562125,",","Denham Springs,Louisiana",12/16/06,12/06
Paducah,Kentucky,37.0833893,-88.6000478,",","Paducah,Kentucky",12/16/06,12/06
Tallahassee,Florida,30.4380832,-84.2809332,",","Tallahassee,Florida",12/16/06,12/06
Greenville,South Carolina,34.851354,-82.3984882,",","Greenville,South Carolina",12/16/06,12/06
Longview,Washington,46.1377048,-122.9344623,",","Longview,Washington",12/18/06,12/06
Longmont,Colorado,40.1672117,-105.1019287,",","Longmont,Colorado",12/18/06,12/06
Tulsa,Oklahoma,36.1556805,-95.9929113,",","Tulsa,Oklahoma",12/18/06,12/06
Wooster,Ohio,40.7991766,-81.9383187,",","Wooster,Ohio",12/18/06,12/06
Fort Myers,Florida,26.640628,-81.8723084,",","Fort Myers,Florida",12/18/06,12/06
Altamonte Springs,Florida,28.6649055,-81.3762686,",","Altamonte Springs,Florida",12/18/06,12/06
Orlando,Florida,28.5421109,-81.3790304,",","Orlando,Florida",12/19/06,12/06
Seattle,Washington,47.6038321,-122.3300624,",","Seattle,Washington",12/20/06,12/06
Houston,Texas,31.3378465,-95.390805,",","Houston,Texas",12/20/06,12/06
Mundelein,Illinois,42.263079,-88.0039653,",","Mundelein,Illinois",12/20/06,12/06
Fort Walton Beach,Florida,30.4057552,-86.618842,",","Fort Walton Beach,Florida",12/20/06,12/06
Exton,Pennsylvania,40.0289955,-75.6207651,",","Exton,Pennsylvania",12/20/06,12/06
Collierville,Tennessee,35.042036,-89.6645266,",","Collierville,Tennessee",12/21/06,12/06
Boca Raton,Florida,26.3586885,-80.0830984,",","Boca Raton,Florida",12/21/06,12/06
Annapolis,Maryland,38.9786401,-76.492786,",","Annapolis,Maryland",12/22/06,12/06
Santa Monica,California,34.019454,-118.491191,",","Santa Monica,California",12/26/06,12/06
Alameda,California,37.765206,-122.241636,",","Alameda,California",12/29/06,12/06
Tucson,Arizona,32.222607,-110.974711,",","Tucson,Arizona",12/29/06,12/06
Chicago,Illinois,41.8755616,-87.6244212,",","Chicago,Illinois",12/29/06,12/06
Merrillville,Indiana,41.4828144,-87.3328139,",","Merrillville,Indiana",12/29/06,12/06
Baltimore,Maryland,39.2908816,-76.610759,",","Baltimore,Maryland",12/29/06,12/06
Bridgewater,New Jersey,40.5598127,-74.5517146,",","Bridgewater,New Jersey",12/29/06,12/06
Roseland,New Jersey,40.8206555,-74.2937595,",","Roseland,New Jersey",12/29/06,12/06
Vacaville,California,38.356577,-121.987744,",","Vacaville,California",12/30/06,12/06
Irvine,California,33.684567,-117.826505,",","Irvine,California",12/30/06,12/06
Oceanside,California,33.19587,-117.379483,",","Oceanside,California",12/30/06,12/06
Beaverton,Oregon,45.4871723,-122.8037804,",","Beaverton,Oregon",1/5/07,1/07
Austin,Texas,30.2711286,-97.7436995,",","Austin,Texas",1/5/07,1/07
Arlington,Texas,32.701939,-97.1056248,",","Arlington,Texas",1/5/07,1/07
Katy,Texas,29.7857853,-95.8243956,",","Katy,Texas",1/5/07,1/07
Buena Park,California,33.867404,-117.998139,",","Buena Park,California",1/8/07,1/07
Denver,Colorado,39.7392364,-104.9848623,",","Denver,Colorado",1/8/07,1/07
Casselberry,Florida,28.654276,-81.3237907,",","Casselberry,Florida",1/9/07,1/07
Clifton,New Jersey,40.8584328,-74.1637553,",","Clifton,New Jersey",1/11/07,1/07
Sacramento,California,38.581572,-121.4944,",","Sacramento,California",1/12/07,1/07
Pocatello,Idaho,42.8688613,-112.4401098,",","Pocatello,Idaho",1/12/07,1/07
Rio Rancho,New Mexico,35.233375,-106.6644716,",","Rio Rancho,New Mexico",1/12/07,1/07
Marion,Ohio,40.5885271,-83.1895249,",","Marion,Ohio",1/12/07,1/07
Gainsville,Florida,29.6194176,-82.3601179,",","Gainsville,Florida",1/12/07,1/07
Sterling,Virginia,39.0016194,-77.4032011,",","Sterling,Virginia",1/12/07,1/07
New York,New York,40.7127281,-74.0060152,",","New York,New York",1/12/07,1/07
Fort Lauderdale,Florida,26.1223084,-80.1433786,",","Fort Lauderdale,Florida",1/13/07,1/07
Orange,California,33.787914,-117.853101,",","Orange,California",1/15/07,1/07
Clifton,Colorado,39.080073,-108.4592774,",","Clifton,Colorado",1/15/07,1/07
St. Petersburg,Florida,27.7703796,-82.6695085,",","St. Petersburg,Florida",1/17/07,1/07
Kirkland,Washington,47.6859573,-122.1920249,",","Kirkland,Washington",1/18/07,1/07
Riverside,California,33.980601,-117.375494,",","Riverside,California",1/19/07,1/07
Prescott,Arizona,34.540024,-112.468502,",","Prescott,Arizona",1/19/07,1/07
Sheridian,Wyoming,44.7954,-106.9484,",","Sheridian,Wyoming",1/19/07,1/07
Glen Ellyn,Illinois,41.8775293,-88.0670118,",","Glen Ellyn,Illinois",1/19/07,1/07
Georgetown,Kentucky,38.2097967,-84.5588311,",","Georgetown,Kentucky",1/19/07,1/07
Naples,Florida,26.1421976,-81.7942944,",","Naples,Florida",1/19/07,1/07
Jacksonville,Florida,30.3321838,-81.655651,",","Jacksonville,Florida",1/20/07,1/07
Downey,California,33.940109,-118.133159,",","Downey,California",1/26/07,1/07
San Marcos,California,33.143372,-117.166145,",","San Marcos,California",1/26/07,1/07
Ardmore,Oklahoma,34.1742611,-97.1436254,",","Ardmore,Oklahoma",1/26/07,1/07
Humble,Texas,29.9988312,-95.2621553,",","Humble,Texas",1/26/07,1/07
Sussex,Wisconsin,43.1339001,-88.2220372,",","Sussex,Wisconsin",1/26/07,1/07
Carol Stream,Illinois,41.9125286,-88.1347927,",","Carol Stream,Illinois",1/26/07,1/07
Auburn,Indiana,41.3669902,-85.0588632,",","Auburn,Indiana",1/26/07,1/07
Destin,Florida,30.3935337,-86.4957834,",","Destin,Florida",1/27/07,1/07
Denver,Colorado,39.7392364,-104.9848623,",","Denver,Colorado",1/29/07,1/07
Winston-Salem,North Carolina,36.0998131,-80.2440518,",","Winston-Salem,North Carolina",1/30/07,1/07
Sacramento,California,38.581572,-121.4944,",","Sacramento,California",2/2/07,2/07
Santa Ana,California,33.745472,-117.867653,",","Santa Ana,California",2/2/07,2/07
Mission Viejo,California,33.596891,-117.658156,",","Mission Viejo,California",2/2/07,2/07
Tulsa,Oklahoma,36.1556805,-95.9929113,",","Tulsa,Oklahoma",2/2/07,2/07
Ames,Iowa,42.0267703,-93.6170554,",","Ames,Iowa",2/2/07,2/07
Peru,Illinois,41.3272919,-89.1287636,",","Peru,Illinois",2/2/07,2/07
Oshkosh,Wisconsin,44.0206919,-88.5408574,",","Oshkosh,Wisconsin",2/2/07,2/07
Smyrna,Georgia,33.883887,-84.5147454,",","Smyrna,Georgia",2/2/07,2/07
Oak Park,Michigan,42.4594803,-83.1827051,",","Oak Park,Michigan",2/2/07,2/07
Miami,Florida,25.7742658,-80.1936589,",","Miami,Florida",2/2/07,2/07
Atlanta,Georgia,33.7490987,-84.3901849,",","Atlanta,Georgia",2/7/07,2/07
Sparks,Nevada,39.5404679,-119.7487235,",","Sparks,Nevada",2/8/07,2/07
Hanover,Pennsylvania,39.8063247,-76.9842735,",","Hanover,Pennsylvania",2/8/07,2/07
Lancaster,Pennsylvania,40.03813,-76.3056686,",","Lancaster,Pennsylvania",2/8/07,2/07
Bakersfield,California,35.373292,-119.018712,",","Bakersfield,California",2/9/07,2/07
San Diego,California,32.715738,-117.161084,",","San Diego,California",2/9/07,2/07
Yuma,Arizona,32.692651,-114.627692,",","Yuma,Arizona",2/9/07,2/07
Sugar Land,Texas,29.6196787,-95.6349463,",","Sugar Land,Texas",2/9/07,2/07
Pearland,Texas,29.5639758,-95.2864299,",","Pearland,Texas",2/9/07,2/07
Leawood,Kansas,38.966673,-94.6169012,",","Leawood,Kansas",2/9/07,2/07
St Charles,Illinois,41.9139516,-88.3125302,",","St Charles,Illinois",2/9/07,2/07
Des Plaines,Illinois,42.0415823,-87.8873916,",","Des Plaines,Illinois",2/9/07,2/07
Murfreesboro,Tennessee,35.845999,-86.3920452,",","Murfreesboro,Tennessee",2/9/07,2/07
Toledo,Ohio,41.6786754,-83.5127283,",","Toledo,Ohio",2/9/07,2/07
Cary,North Carolina,35.7883046,-78.7811964,",","Cary,North Carolina",2/9/07,2/07
Watertown,New York,43.9747838,-75.9107565,",","Watertown,New York",2/9/07,2/07
Middletown,Delaware,39.4496857,-75.7166811,",","Middletown,Delaware",2/9/07,2/07
Augusta,Georgia,33.4709714,-81.9748429,",","Augusta,Georgia",2/10/07,2/07
Florence,South Carolina,34.1984435,-79.7671658,",","Florence,South Carolina",2/10/07,2/07
Greenville,South Carolina,34.851354,-82.3984882,",","Greenville,South Carolina",2/12/07,2/07
Medford,New York,40.8226828,-72.9888084,",","Medford,New York",2/14/07,2/07
Winston-Salem,North Carolina,36.0998131,-80.2440518,",","Winston-Salem,North Carolina",2/15/07,2/07
Paramount,California,33.88946,-118.159791,",","Paramount,California",2/16/07,2/07
Cleburne,Texas,32.3476438,-97.3866837,",","Cleburne,Texas",2/16/07,2/07
West Chicago,Illinois,41.8847507,-88.2039607,",","West Chicago,Illinois",2/16/07,2/07
Wilmette,Illinois,42.0757315,-87.7193768,",","Wilmette,Illinois",2/16/07,2/07
Ithaca,New York,42.4396039,-76.4968019,",","Ithaca,New York",2/16/07,2/07
New York,New York,40.7127281,-74.0060152,",","New York,New York",2/16/07,2/07
Elk Grove,California,38.408799,-121.371618,",","Elk Grove,California",2/17/07,2/07
Los Angeles,California,34.052234,-118.243685,",","Los Angeles,California",2/19/07,2/07
Rockville,Maryland,39.0840054,-77.1527573,",","Rockville,Maryland",2/19/07,2/07
Brooklyn,New York,40.6501038,-73.9495823,",","Brooklyn,New York",2/21/07,2/07
Ventura,California,34.280492,-119.29452,",","Ventura,California",2/23/07,2/07
Visalia,California,36.330228,-119.292058,",","Visalia,California",2/23/07,2/07
Visalia,California,36.330228,-119.292058,",","Visalia,California",2/23/07,2/07
Johnstown,Colorado,40.3654413,-104.9483435,",","Johnstown,Colorado",2/23/07,2/07
Wheaton,Illinois,41.8646959,-88.1101709,",","Wheaton,Illinois",2/23/07,2/07
Mount Pleasant,Michigan,43.597646,-84.7668495,",","Mount Pleasant,Michigan",2/23/07,2/07
Benicia,California,38.049365,-122.158578,",","Benicia,California",2/24/07,2/07
Mary Esther,Florida,30.4099215,-86.6630098,",","Mary Esther,Florida",2/24/07,2/07
Riverside,California,33.980601,-117.375494,",","Riverside,California",2/26/07,2/07
Indianapolis,Indiana,39.7683331,-86.1583502,",","Indianapolis,Indiana",2/26/07,2/07
Olney,Maryland,39.1532123,-77.0668408,",","Olney,Maryland",2/26/07,2/07
Canton,Michigan,42.3076547,-83.4868961,",","Canton,Michigan",2/27/07,2/07
Miamisburg,Ohio,39.6428362,-84.2866083,",","Miamisburg,Ohio",2/28/07,2/07
Union City,California,37.593356,-122.043861,",","Union City,California",3/1/07,3/07
Houston,Texas,31.3378465,-95.390805,",","Houston,Texas",3/1/07,3/07
Oak Park Heights,Minnesota,45.0313559,-92.7929842,",","Oak Park Heights,Minnesota",3/1/07,3/07
Moosic,Pennsylvania,41.353413,-75.7382478,",","Moosic,Pennsylvania",3/1/07,3/07
Clark Summit,Pennsylvania,41.4971363,-75.7055147,",","Clark Summit,Pennsylvania",3/1/07,3/07
Tumwater,Washington,47.0080655,-122.9103689,",","Tumwater,Washington",3/2/07,3/07
San Jose,California,37.338208,-121.886329,",","San Jose,California",3/2/07,3/07
Visalia,California,36.330228,-119.292058,",","Visalia,California",3/2/07,3/07
Huntington Beach,California,33.659484,-117.998803,",","Huntington Beach,California",3/2/07,3/07
Chula Vista,California,32.640054,-117.084196,",","Chula Vista,California",3/2/07,3/07
Lakewood,Colorado,39.6246085,-105.084204,",","Lakewood,Colorado",3/2/07,3/07
Katy,Texas,29.7857853,-95.8243956,",","Katy,Texas",3/2/07,3/07
Houston,Texas,31.3378465,-95.390805,",","Houston,Texas",3/2/07,3/07
Bossier City,Louisiana,32.5369356,-93.6952689,",","Bossier City,Louisiana",3/2/07,3/07
Jacksonville,Arkansas,34.8662,-92.110146,",","Jacksonville,Arkansas",3/2/07,3/07
Wentzville,Missouri,38.8244136,-90.8683119,",","Wentzville,Missouri",3/2/07,3/07
Broadview,Illinois,41.8639201,-87.8533931,",","Broadview,Illinois",3/2/07,3/07
Brownsburg,Indiana,39.8433769,-86.3977736,",","Brownsburg,Indiana",3/2/07,3/07
Louisville,Kentucky,38.2542376,-85.759407,",","Louisville,Kentucky",3/2/07,3/07
Naples,Florida,26.1421976,-81.7942944,",","Naples,Florida",3/2/07,3/07
Kennesaw,Georgia,34.0234337,-84.6154897,",","Kennesaw,Georgia",3/3/07,3/07
Baton Rouge,Louisiana,30.4459596,-91.18738,",","Baton Rouge,Louisiana",3/6/07,3/07
Ukiah,California,39.150171,-123.207783,",","Ukiah,California",3/8/07,3/07
San Diego,California,32.715738,-117.161084,",","San Diego,California",3/8/07,3/07
Tigard,Oregon,45.4307473,-122.7719339,",","Tigard,Oregon",3/9/07,3/07
North Las Vegas,Nevada,36.2005843,-115.1215844,",","North Las Vegas,Nevada",3/9/07,3/07
Henderson,Nevada,36.0301134,-114.9826194,",","Henderson,Nevada",3/9/07,3/07
Litchfield Park,Arizona,33.493374,-112.357936,",","Litchfield Park,Arizona",3/9/07,3/07
Austin,Texas,30.2711286,-97.7436995,",","Austin,Texas",3/9/07,3/07
Wausau,Wisconsin,44.9596017,-89.6298239,",","Wausau,Wisconsin",3/9/07,3/07
Joliet,Illinois,41.5263603,-88.0840212,",","Joliet,Illinois",3/9/07,3/07
North Riverside,Illinois,41.84686,-87.8152024,",","North Riverside,Illinois",3/9/07,3/07
New York,New York,40.7127281,-74.0060152,",","New York,New York",3/9/07,3/07
New York,New York,40.7127281,-74.0060152,",","New York,New York",3/9/07,3/07
Merced,California,37.302163,-120.482968,",","Merced,California",3/14/07,3/07
Lititz,Pennsylvania,40.1571252,-76.3072103,",","Lititz,Pennsylvania",3/15/07,3/07
Bordentown,New Jersey,40.1462213,-74.7118264,",","Bordentown,New Jersey",3/15/07,3/07
Kirkland,Washington,47.6859573,-122.1920249,",","Kirkland,Washington",3/16/07,3/07
San Jose,California,37.338208,-121.886329,",","San Jose,California",3/16/07,3/07
Corona,California,33.875293,-117.566438,",","Corona,California",3/16/07,3/07
Surprise,Arizona,33.629234,-112.367928,",","Surprise,Arizona",3/16/07,3/07
Woodway,Texas,31.5059998,-97.2050055,",","Woodway,Texas",3/16/07,3/07
Fairfax,Virginia,30.59643,-96.281657,",","Fairfax,Virginia",3/16/07,3/07
Sedalia,Missouri,38.7098314,-93.2295515,",","Sedalia,Missouri",3/16/07,3/07
Lockport,Illinois,41.5894753,-88.057837,",","Lockport,Illinois",3/16/07,3/07
St John,Indiana,41.4458005,-87.4746214,",","St John,Indiana",3/16/07,3/07
Chattanooga,Tennessee,35.0457219,-85.3094883,",","Chattanooga,Tennessee",3/16/07,3/07
Forest Park,Ohio,39.2903353,-84.5041108,",","Forest Park,Ohio",3/16/07,3/07
Royal Palm Beach,Florida,26.7017553,-80.2233842,",","Royal Palm Beach,Florida",3/16/07,3/07
Wilton Manors,Florida,26.1603626,-80.138934,",","Wilton Manors,Florida",3/16/07,3/07
Culpeper,Virginia,38.4912207,-77.9618216,",","Culpeper,Virginia",3/16/07,3/07
Falmouth,Maine,43.729525,-70.241993,",","Falmouth,Maine",3/16/07,3/07
Baton Rouge,Louisiana,30.4459596,-91.18738,",","Baton Rouge,Louisiana",3/17/07,3/07
Grand Rapids,Michigan,42.9632405,-85.6678639,",","Grand Rapids,Michigan",3/19/07,3/07
Charlotte,North Carolina,35.2271986,-80.843083,",","Charlotte,North Carolina",3/19/07,3/07
Lynnwood,Washington,47.8278656,-122.3053932,",","Lynnwood,Washington",3/20/07,3/07
Santa Maria,California,34.953034,-120.435719,",","Santa Maria,California",3/20/07,3/07
River Ridge,Louisiana,29.9546595,-90.2160805,",","River Ridge,Louisiana",3/20/07,3/07
Lake St. Louis,Missouri,38.7771015,-90.8085827,",","Lake St. Louis,Missouri",3/22/07,3/07
Atwater,California,37.347717,-120.609084,",","Atwater,California",3/23/07,3/07
Tehachapi,California,35.132188,-118.448974,",","Tehachapi,California",3/23/07,3/07
Oak Park,Illinois,41.8878145,-87.7887615,",","Oak Park,Illinois",3/23/07,3/07
Charlotte,North Carolina,35.2271986,-80.843083,",","Charlotte,North Carolina",3/23/07,3/07
Mooresville,North Carolina,35.5848596,-80.8100724,",","Mooresville,North Carolina",3/23/07,3/07
Harrisonburg,Virginia,38.4396675,-78.8701365,",","Harrisonburg,Virginia",3/23/07,3/07
White Marsh,Maryland,39.3819338,-76.457304,",","White Marsh,Maryland",3/23/07,3/07
New York,New York,40.7127281,-74.0060152,",","New York,New York",3/23/07,3/07
Durham,North Carolina,35.996653,-78.9018053,",","Durham,North Carolina",3/24/07,3/07
Palm Beach,Florida,26.6279798,-80.4494174,",","Palm Beach,Florida",3/27/07,3/07
Hayward,California,37.668767,-122.080996,",","Hayward,California",3/29/07,3/07
Columbia,South Carolina,34.0007493,-81.0343313,",","Columbia,South Carolina",3/29/07,3/07
Scranton,Pennsylvania,41.4086874,-75.6621294,",","Scranton,Pennsylvania",3/29/07,3/07
Reno,Nevada,39.5261206,-119.8126581,",","Reno,Nevada",3/30/07,3/07
Carson City,Nevada,39.1649125,-119.7666496,",","Carson City,Nevada",3/30/07,3/07
Carson,California,33.831675,-118.281693,",","Carson,California",3/30/07,3/07
Los Angeles,California,34.052234,-118.243685,",","Los Angeles,California",3/30/07,3/07
Garden City,Idaho,43.622111,-116.2381787,",","Garden City,Idaho",3/30/07,3/07
Phoenix,Arizona,33.448377,-112.074037,",","Phoenix,Arizona",3/30/07,3/07
Ruidoso,New Mexico,33.3315804,-105.6730991,",","Ruidoso,New Mexico",3/30/07,3/07
Thornton,Colorado,39.8695516,-104.9851819,",","Thornton,Colorado",3/30/07,3/07
San Marcos,Texas,29.8826436,-97.9405828,",","San Marcos,Texas",3/30/07,3/07
Bastrop,Texas,30.0900753,-97.3127179,",","Bastrop,Texas",3/30/07,3/07
Denton,Texas,33.1838787,-97.1413417,",","Denton,Texas",3/30/07,3/07
Maumelle,Arkansas,34.866757,-92.404322,",","Maumelle,Arkansas",3/30/07,3/07
Cedarburg,Wisconsin,43.2966545,-87.9875348,",","Cedarburg,Wisconsin",3/30/07,3/07
Libertyville,Illinois,42.2830786,-87.9531303,",","Libertyville,Illinois",3/30/07,3/07
Shelbyville,Indiana,39.5214373,-85.7769238,",","Shelbyville,Indiana",3/30/07,3/07
Acworth,Georgia,34.0659329,-84.6768796,",","Acworth,Georgia",3/30/07,3/07
Troy,Michigan,42.6055893,-83.1499304,",","Troy,Michigan",3/30/07,3/07
Jessup,Maryland,39.1492746,-76.7752493,",","Jessup,Maryland",3/30/07,3/07
Newtown Square,Pennsylvania,39.9868117,-75.4007633,",","Newtown Square,Pennsylvania",3/30/07,3/07
Glastonbury,Connecticut,41.7123218,-72.608146,",","Glastonbury,Connecticut",3/30/07,3/07
Victorville,California,34.536218,-117.292764,",","Victorville,California",3/31/07,3/07
Fairview Heights,Illinois,38.5889386,-89.990382,",","Fairview Heights,Illinois",3/31/07,3/07
Augusta,Georgia,33.4709714,-81.9748429,",","Augusta,Georgia",3/31/07,3/07
Middletown,New York,40.8397222,-73.8316667,",","Middletown,New York",3/31/07,3/07
Phoenix,Arizona,33.448377,-112.074037,",","Phoenix,Arizona",4/1/07,4/07
Meriden,Connecticut,41.5381535,-72.8070435,",","Meriden,Connecticut",4/1/07,4/07
North Merrick,New York,40.6866295,-73.5614057,",","North Merrick,New York",4/2/07,4/07
Las Vegas,Nevada,36.1672559,-115.1485163,",","Las Vegas,Nevada",4/6/07,4/07
Salt Lake City,Utah,40.7596198,-111.8867975,",","Salt Lake City,Utah",4/6/07,4/07
Aurora,Colorado,39.729432,-104.8319196,",","Aurora,Colorado",4/6/07,4/07
Little Rock,Arkansas,34.746481,-92.289595,",","Little Rock,Arkansas",4/6/07,4/07
Schaumburg,Illinois,42.0333608,-88.083406,",","Schaumburg,Illinois",4/6/07,4/07
Lemont,Illinois,41.673642,-88.0017261,",","Lemont,Illinois",4/6/07,4/07
Nanuet,New York,41.0903087,-74.0148524,",","Nanuet,New York",4/6/07,4/07
Brooklyn,New York,40.6501038,-73.9495823,",","Brooklyn,New York",4/9/07,4/07
Santa Rosa,California,38.440429,-122.714055,",","Santa Rosa,California",4/12/07,4/07
Santa Rosa,California,38.440429,-122.714055,",","Santa Rosa,California",4/12/07,4/07
El Segundo,California,33.91918,-118.416465,",","El Segundo,California",4/12/07,4/07
Oakdale,California,37.766626,-120.847031,",","Oakdale,California",4/13/07,4/07
San Bernardino,California,34.108345,-117.289765,",","San Bernardino,California",4/13/07,4/07
San Diego,California,32.715738,-117.161084,",","San Diego,California",4/13/07,4/07
Richardson,Texas,32.9481789,-96.7297206,",","Richardson,Texas",4/13/07,4/07
Hollywood,Florida,26.0112014,-80.1494901,",","Hollywood,Florida",4/13/07,4/07
Columbia,South Carolina,34.0007493,-81.0343313,",","Columbia,South Carolina",4/14/07,4/07
Fort Myers,Florida,26.640628,-81.8723084,",","Fort Myers,Florida",4/15/07,4/07
Gillette,Wyoming,44.290635,-105.501876,",","Gillette,Wyoming",4/16/07,4/07
Bismarck,North Dakota,46.808327,-100.783739,",","Bismarck,North Dakota",4/16/07,4/07
