ID,Lat,Long,Mopened,Opened,City,State,Commas,CityState,,
37881Honolulu,21.304547,-157.8556764,9/03,9/17/03,Honolulu,Hawaii,",","Honolulu,Hawaii",,
37884Knoxville,35.9603948,-83.9210261,9/03,9/20/03,Knoxville,Tennessee,",","Knoxville,Tennessee",,
37898Hilo,19.7084648,-155.0580714,10/03,10/4/03,Hilo,Hawaii,",","Hilo,Hawaii",,
37968Pukalani,20.8326828,-156.3369777,12/03,12/13/03,Pukalani,Hawaii,",","Pukalani,Hawaii",,
37973Lihue,21.9769622,-159.3687721,12/03,12/18/03,Lihue,Hawaii,",","Lihue,Hawaii",,
37987Columbus,39.2014405,-85.9213796,1/04,1/1/04,Columbus,Indiana,",","Columbus,Indiana",,
38054Silver Spring,38.9959461,-77.0276231,3/04,3/8/04,Silver Spring,Maryland,",","Silver Spring,Maryland",,
38066McAllen,26.2043691,-98.230082,3/04,3/20/04,McAllen,Texas,",","McAllen,Texas",,
38078Riverdale,41.1791924,-111.9929921,4/04,4/1/04,Riverdale,Utah,",","Riverdale,Utah",,
38078Sioux Falls,43.5499749,-96.700327,4/04,4/1/04,Sioux Falls,South Dakota,",","Sioux Falls,South Dakota",,
38108Lake Forest,33.646944,-117.686102,5/04,5/1/04,Lake Forest,California,",","Lake Forest,California",,
38108Atlantic City,39.3642852,-74.4229351,5/04,5/1/04,Atlantic City,New Jersey,",","Atlantic City,New Jersey",,
38149San Diego,32.715738,-117.161084,6/04,6/11/04,San Diego,California,",","San Diego,California",,
38156Hutchinson,38.0608444,-97.9297743,6/04,6/18/04,Hutchinson,Kansas,",","Hutchinson,Kansas",,
38160Waipahu,21.3866667,-158.0091667,6/04,6/22/04,Waipahu,Hawaii,",","Waipahu,Hawaii",,
38163Emporia,38.4040054,-96.181623,6/04,6/25/04,Emporia,Kansas,",","Emporia,Kansas",,
38169Las Cruces,32.3140354,-106.7798078,7/04,7/1/04,Las Cruces,New Mexico,",","Las Cruces,New Mexico",,
38188Honolulu,21.304547,-157.8556764,7/04,7/20/04,Honolulu,Hawaii,",","Honolulu,Hawaii",,
38200Tempe,33.42551,-111.940005,8/04,8/1/04,Tempe,Arizona,",","Tempe,Arizona",,
38219McAllen,26.2043691,-98.230082,8/04,8/20/04,McAllen,Texas,",","McAllen,Texas",,
38231Portland,45.5202471,-122.6741949,9/04,9/1/04,Portland,Oregon,",","Portland,Oregon",,
38231Boulder City,35.9787638,-114.8337739,9/04,9/1/04,Boulder City,Nevada,",","Boulder City,Nevada",,
